"Prefix","Country"
"4487","United Kingdom"
"4490","United Kingdom"
"4491","United Kingdom"
"4498","United Kingdom"
"5611","Chile"
"5615","Chile"
"7491","Russia"
"7492","Russia"
"7493","Russia"
"7494","Russia"
"7496","Russia"
"7497","Kazakhstan"
"7498","Russia"
"7499","Russia"
"7785","Kazakhstan"
"7788","Kazakhstan"
"8150","Japan"
"8816","Global Mobile Satellite System"
"8818","Global Mobile Satellite System"
"9683","Oman"
"9684","Oman"
"9686","Oman"
"18681","Trinidad & Tobago"
"18683","Trinidad & Tobago"
"18684","Trinidad & Tobago"
"18685","Trinidad & Tobago"
"18689","Trinidad & Tobago"
"22455","Guinea"
"22470","Guinea"
"22478","Guinea"
"22739","Niger"
"23190","Liberia"
"25632","Uganda"
"25639","Uganda"
"27100","South Africa"
"27120","South Africa"
"27130","South Africa"
"27140","South Africa"
"27150","South Africa"
"27160","South Africa"
"27210","South Africa"
"27310","South Africa"
"27320","South Africa"
"27410","South Africa"
"27510","South Africa"
"31660","Netherlands"
"34902","Spain"
"35212","Luxembourg"
"35777","Cyprus"
"35810","Finland"
"37240","Estonia"
"37270","Estonia"
"43711","Austria"
"43730","Austria"
"43740","Austria"
"44712","United Kingdom"
"44731","United Kingdom"
"44735","United Kingdom"
"44799","United Kingdom"
"44842","United Kingdom"
"44843","United Kingdom"
"44844","United Kingdom"
"44845","United Kingdom"
"44871","United Kingdom"
"44872","United Kingdom"
"44873","United Kingdom"
"44908","United Kingdom"
"44909","United Kingdom"
"44970","United Kingdom"
"49700","Germany"
"49701","Germany"
"59893","Uruguay"
"59894","Uruguay"
"59895","Uruguay"
"79407","Abkhazia"
"79409","Abkhazia"
"87810","Universal Personal Telecommunication Service"
"88213","International Networks"
"88216","International Networks"
"88232","International Networks"
"88233","International Networks"
"88234","Antarctica"
"96850","Oman"
"97155","United Arab Emirates"
"97222","Israel"
"99576","Georgia"
"227201","Niger"
"252661","Somalia"
"261200","Madagascar"
"357700","Cyprus"
"373900","Moldova"
"441481","United Kingdom"
"441534","United Kingdom"
"441624","United Kingdom"
"445600","United Kingdom"
"447015","United Kingdom"
"447101","United Kingdom"
"447108","United Kingdom"
"447305","United Kingdom"
"447368","United Kingdom"
"447369","United Kingdom"
"447406","United Kingdom"
"447408","United Kingdom"
"447417","United Kingdom"
"447418","United Kingdom"
"447441","United Kingdom"
"447451","United Kingdom"
"447452","United Kingdom"
"447457","United Kingdom"
"447458","United Kingdom"
"447465","United Kingdom"
"447509","United Kingdom"
"447520","United Kingdom"
"447537","United Kingdom"
"447558","United Kingdom"
"447559","United Kingdom"
